Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
196;23.1;-3.00;1;4;100;6;3;0;0
197;15.9;-3.34;1;4;100;6;3;0;0
198;30.0;-2.33;1;6;130;6;3;1;0
199;24.8;0.16;1;4;100;6;4;0;0
200;23.3;-3.00;1;4;100;6;3;0;0
201;26.0;0.20;1;4;100;6;4;0;0
202;18.4;-3.08;1;4;100;6;3;0;1
203;42.5;16.38;1;4;100;12;9;0;2
204;15.5;-6.36;1;4;100;5;2;0;1
205;40.7;10.00;1;4;100;8;7;1;2
206;29.5;-2.90;1;6;130;7;3;1;1
207;31.9;0.46;1;4;100;6;4;0;0
208;16.3;-3.20;1;4;100;5;3;0;1
209;42.2;6.60;1;6;150;10;6;3;2
210;17.9;-3.14;1;4;100;6;3;0;1
211;31.4;-2.58;1;4;100;6;3;1;0
212;26.5;0.16;1;4;100;6;4;0;0
213;25.2;-0.23;1;5;125;6;4;2;0
214;19.1;-6.16;1;4;100;6;2;1;0
215;45.9;10.29;1;5;125;11;7;2;2
216;49.9;16.24;1;4;100;11;9;0;2
217;30.8;0.48;1;4;100;6;4;1;0
218;28.2;3.40;1;4;100;8;5;2;1
219;18.5;-6.00;1;4;100;5;2;0;2
220;21.5;-0.08;1;4;100;6;4;0;0
221;35.8;12.80;1;4;100;8;8;1;1
222;17.4;-3.34;1;4;100;6;3;0;0
223;32.0;6.60;1;4;100;9;6;0;1
224;51.9;22.92;1;4;100;15;11;1;3
225;27.9;6.40;1;4;100;9;6;0;1
226;43.2;0.66;1;6;130;6;4;1;0
227;31.2;-2.60;1;4;100;6;3;0;0
228;28.1;0.28;1;4;100;6;4;0;0
229;23.9;0.10;1;4;100;6;4;1;0
230;39.8;0.69;1;5;125;6;4;2;0
231;30.0;3.81;1;6;130;9;5;1;1
232;24.1;-2.92;1;4;100;6;3;0;0
233;53.8;19.63;1;5;125;12;10;3;2
234;61.1;23.56;1;4;100;16;11;0;4
235;26.6;3.05;1;5;125;9;5;1;1
236;39.8;-2.60;1;6;130;6;3;1;0
237;18.2;-0.24;1;5;125;6;4;1;0
238;12.6;-6.50;1;4;100;5;2;0;0
239;17.2;-3.38;1;4;100;6;3;0;0
240;20.5;-0.16;1;4;100;6;4;0;0
241;22.1;0.00;1;4;100;6;4;0;0
242;36.3;3.74;1;4;100;6;5;1;0
243;40.8;16.36;1;4;100;12;9;0;3
244;41.5;7.12;1;4;100;8;6;1;1
245;18.0;-3.22;1;4;100;6;3;0;0
246;22.5;0.26;1;4;100;6;4;0;2
247;44.3;13.24;1;4;100;9;8;2;1
248;34.5;10.04;1;4;100;9;7;2;2
249;24.7;3.04;1;4;100;6;5;0;0
250;32.3;0.58;1;4;100;6;4;0;0
251;16.5;-5.94;1;4;100;4;2;0;2
252;48.0;-2.18;1;6;130;6;3;1;0
253;43.3;25.54;1;4;100;15;12;1;4
254;31.0;0.50;1;4;100;6;4;1;0
255;27.6;0.14;1;4;100;6;4;1;0
256;19.4;-2.98;1;4;100;6;3;1;2
257;38.3;0.04;1;6;130;6;4;1;0
258;37.4;6.88;1;4;100;9;6;0;1
259;23.0;0.02;1;4;100;6;4;0;0
260;39.8;13.20;1;4;100;12;8;0;2
261;30.2;0.44;1;4;100;6;4;0;0
262;16.2;-2.92;1;4;100;5;3;0;3
263;17.7;-3.26;1;4;100;6;3;0;0
264;20.1;0.02;1;4;100;7;4;0;1
265;20.7;0.26;1;4;100;6;4;0;2
266;17.9;-3.32;1;4;100;6;3;0;0
267;46.8;19.56;1;4;100;13;10;0;3
268;24.9;0.12;1;4;100;6;4;0;0
269;42.3;3.89;1;5;125;6;5;2;0
270;19.8;-3.14;1;4;100;6;3;1;0
271;18.1;-6.26;1;4;100;6;2;0;0
272;27.0;0.20;1;4;100;6;4;0;0
273;19.8;-0.18;1;4;100;6;4;0;0
274;39.3;13.02;1;4;100;12;8;0;2
275;42.2;7.18;1;4;100;8;6;0;1
276;40.0;7.08;1;4;100;9;6;0;1
277;47.2;9.67;1;8;160;9;7;3;1
278;23.4;-3.00;1;4;100;6;3;0;0
279;26.5;0.20;1;4;100;6;4;0;0
280;35.2;9.55;1;5;125;9;7;2;1
281;34.4;9.26;1;6;130;9;7;1;1
282;31.8;9.50;1;4;100;9;7;0;2
283;23.8;0.00;1;4;100;6;4;0;0
284;35.4;9.82;1;4;100;9;7;0;1
285;32.3;3.56;1;4;100;6;5;1;0
286;38.0;2.59;1;8;185;6;5;5;0
287;33.1;0.06;1;6;130;6;4;1;0
288;27.1;0.22;1;4;100;6;4;0;0
289;35.1;9.76;1;4;100;9;7;0;1
290;15.4;-3.30;1;4;100;6;3;0;0
291;27.6;-0.05;1;5;125;6;4;2;0
292;32.4;9.62;1;4;100;9;7;0;1
293;37.1;3.36;1;6;130;7;5;1;1
294;18.8;-3.22;1;4;100;6;3;0;0
295;25.7;3.30;1;4;100;9;5;0;1
296;36.1;10.21;1;6;130;9;7;1;1
297;44.1;12.64;1;6;130;9;8;1;3
298;19.7;-0.22;1;4;100;6;4;0;0
299;15.5;-6.22;1;4;100;5;2;0;1
300;34.4;0.35;1;5;125;6;4;1;0
301;16.6;-3.54;1;4;100;5;3;0;0
302;53.0;9.63;1;7;155;9;7;3;1
303;37.1;0.82;1;4;100;6;4;0;0
304;26.8;0.42;1;4;100;7;4;1;1
305;29.9;-2.62;1;4;100;6;3;1;0
306;35.1;10.29;1;6;130;10;7;1;2
307;25.7;0.16;1;4;100;6;4;0;0
308;24.5;0.10;1;4;100;6;4;0;0
309;61.4;1.66;1;6;130;6;4;1;0
310;24.3;0.14;1;4;100;6;4;0;0
311;33.0;0.62;1;4;100;6;4;0;0
312;34.7;0.88;1;4;100;7;4;0;1
313;18.5;-3.24;1;4;100;6;3;0;0
314;26.0;-2.86;1;4;100;6;3;0;0
315;26.9;0.30;1;4;100;6;4;0;0
316;26.2;0.26;1;4;100;6;4;1;0
317;28.3;-2.66;1;4;100;6;3;0;0
318;25.0;0.16;1;4;100;6;4;0;0
319;18.4;-0.16;1;4;100;6;4;0;0
320;26.8;-2.70;1;4;100;6;3;1;0
321;11.0;-12.54;1;4;100;3;0;0;0
322;31.3;0.58;1;4;100;6;4;0;0
323;19.9;-0.02;1;4;100;6;4;0;0
324;32.4;0.08;1;6;130;6;4;2;0
325;54.0;7.36;1;6;130;6;6;3;0
326;60.8;11.65;1;6;130;8;7;1;1
327;73.2;11.56;1;6;130;9;7;3;1
328;32.8;3.62;1;4;100;6;5;1;0
329;18.6;-0.28;1;4;100;6;4;0;0
330;23.8;-2.92;1;4;100;6;3;0;0
331;24.6;3.30;1;4;100;8;5;0;1
332;41.1;4.37;1;6;130;6;5;3;0
333;42.7;-2.19;1;5;125;6;3;1;0
334;23.1;0.04;1;4;100;6;4;0;0
335;34.5;0.82;1;4;100;6;4;1;0
336;59.1;19.78;1;6;130;12;10;1;2
337;21.6;-0.02;1;4;100;6;4;0;0
338;11.1;-9.52;1;4;100;4;1;0;0
339;29.1;0.34;1;4;100;6;4;0;0
340;37.3;16.10;1;4;100;12;9;1;2
341;37.1;7.02;1;4;100;7;6;2;1
342;21.3;-2.96;1;4;100;6;3;0;0
343;28.3;6.42;1;4;100;9;6;0;1
344;20.4;-3.12;1;4;100;6;3;0;0
345;33.9;9.04;1;4;100;9;7;0;1
346;49.4;12.67;1;5;125;9;8;1;1
347;41.0;13.20;1;4;100;11;8;1;2
348;16.9;-3.10;1;4;100;5;3;0;1
349;26.9;6.32;1;4;100;9;6;0;1
350;15.8;-3.14;1;4;100;6;3;0;1
351;43.6;19.42;1;4;100;12;10;0;2
352;32.1;3.80;1;4;100;8;5;2;1
353;27.4;-2.48;1;4;100;7;3;0;1
354;24.9;-2.84;1;4;100;6;3;0;0
355;29.6;0.68;1;4;100;6;4;0;1
356;33.7;9.76;1;4;100;9;7;0;1
357;27.0;0.30;1;4;100;6;4;0;0
358;34.3;-2.55;1;5;125;6;3;1;0
359;26.6;0.26;1;4;100;6;4;0;0
360;33.5;6.66;1;4;100;6;6;0;0
361;37.2;7.00;1;4;100;9;6;0;2
362;45.8;19.54;1;4;100;14;10;0;3
363;24.1;6.32;1;4;100;8;6;1;1
364;18.6;-3.26;1;4;100;6;3;0;0
365;27.2;6.46;1;4;100;8;6;2;1
366;17.5;-3.08;1;4;100;6;3;0;1
367;47.6;25.74;1;4;100;15;12;0;3
368;45.4;16.40;1;4;100;12;9;0;2
369;23.0;0.04;1;4;100;6;4;0;0
370;40.6;12.97;1;5;125;9;8;3;1
371;33.7;9.76;1;4;100;9;7;0;1
372;14.3;-6.44;1;4;100;6;2;0;0
373;31.5;9.83;1;6;130;9;7;1;1
374;18.7;-0.18;1;4;100;6;4;0;0
375;27.8;0.26;1;4;100;6;4;0;0
376;17.2;-6.26;1;4;100;6;2;0;0
377;31.1;0.54;1;4;100;6;4;1;0
378;23.3;3.18;1;4;100;8;5;0;1
379;27.1;6.32;1;4;100;9;6;0;1
380;28.4;6.50;1;4;100;9;6;0;1
381;25.1;0.22;1;4;100;6;4;0;0
382;20.5;-3.06;1;4;100;6;3;0;0
383;28.7;6.26;1;4;100;9;6;0;1
384;45.4;10.10;1;4;100;9;7;2;1
385;16.1;-3.30;1;4;100;6;3;0;0
386;18.1;-6.16;1;4;100;6;2;0;0
387;22.9;-0.46;1;6;130;6;4;1;0
388;72.3;11.25;1;7;160;9;7;4;1
389;28.3;7.20;1;4;100;9;6;0;2
390;22.7;3.70;1;4;100;9;5;0;1
391;47.4;29.68;1;5;125;15;13;2;3
392;27.9;10.24;1;4;100;10;7;0;2
393;20.7;-2.72;1;4;100;6;3;1;0
394;32.9;13.34;1;4;100;9;8;1;1
395;22.4;3.34;1;4;100;6;5;1;0
396;18.3;-2.80;1;4;100;6;3;0;0
397;15.9;-5.92;1;4;100;5;2;1;0
398;13.3;-6.10;1;4;100;6;2;1;0
399;21.9;0.70;1;4;100;7;4;1;1
400;14.1;-3.08;1;4;100;5;3;1;0
401;15.6;-2.94;1;4;100;5;3;1;0
402;27.5;0.78;1;4;100;6;4;1;0
403;21.7;0.02;1;6;130;6;4;1;0
404;22.8;0.50;1;4;100;6;4;1;0
405;17.6;0.18;1;4;100;6;4;1;0
406;10.6;-6.30;1;4;100;4;2;0;0
407;10.9;-9.26;1;4;100;4;1;0;0
408;28.5;6.44;1;4;100;10;6;1;2
409;12.9;-9.46;1;4;100;4;1;0;0
410;26.9;3.52;1;4;100;9;5;0;1
411;26.0;7.31;1;6;130;9;6;1;1
412;20.2;0.11;1;5;125;6;4;1;0
413;23.8;6.66;1;4;100;8;6;1;1
414;23.7;6.78;1;4;100;9;6;1;1
415;22.3;0.48;1;4;100;6;4;0;0
416;32.9;10.40;1;4;100;9;7;1;1
417;15.3;-5.94;1;4;100;6;2;0;0
418;17.5;-6.07;1;5;125;6;2;1;0
419;22.0;0.64;1;4;100;7;4;0;1
420;14.7;-3.00;1;4;100;5;3;0;0
421;23.0;0.54;1;4;100;6;4;1;0
422;33.2;13.64;1;4;100;10;8;0;2
423;24.6;3.84;1;4;100;9;5;0;1
424;20.6;-3.02;1;6;130;6;3;1;0
425;19.8;0.32;1;4;100;6;4;0;0
426;35.3;16.78;1;4;100;12;9;1;2
427;18.1;-5.84;1;4;100;6;2;0;0
428;31.3;10.30;1;4;100;9;7;0;1
429;25.1;6.86;1;4;100;9;6;0;1
430;21.5;0.44;1;4;100;6;4;0;0
431;20.3;-2.62;1;4;100;6;3;0;0
432;23.7;3.51;1;5;125;7;5;1;1
433;37.1;16.86;1;4;100;12;9;0;2
434;36.8;4.83;1;6;130;6;5;3;0
435;28.9;7.12;1;4;100;9;6;0;1
436;24.1;0.62;1;4;100;6;4;0;0
437;33.0;3.94;1;4;100;6;5;1;0
438;28.3;-2.87;1;7;155;6;3;2;0
439;25.8;6.88;1;4;100;9;6;0;1
440;19.9;-0.08;1;6;130;6;4;1;0
441;25.3;6.86;1;4;100;9;6;0;1
442;23.5;3.76;1;4;100;8;5;0;1
443;16.0;-2.94;1;4;100;6;3;0;0
444;21.8;0.84;1;4;100;9;4;0;2
445;26.4;3.96;1;4;100;9;5;0;1
446;29.6;3.98;1;4;100;6;5;2;0
447;26.5;4.16;1;4;100;8;5;1;2
448;17.6;-2.44;1;4;100;7;3;0;2
449;21.5;3.60;1;4;100;8;5;0;1
450;15.5;-3.00;1;4;100;6;3;0;0
451;22.7;0.48;1;4;100;6;4;1;0
452;24.2;3.82;1;4;100;9;5;1;1
453;24.0;3.80;1;4;100;8;5;1;1
454;35.2;10.31;1;5;125;9;7;1;1
455;22.2;0.44;1;4;100;6;4;0;0
456;22.9;0.54;1;4;100;6;4;1;0
457;31.8;4.04;1;4;100;6;5;0;0
458;20.0;0.32;1;4;100;6;4;0;0
459;20.7;3.40;1;4;100;6;5;0;0
460;31.3;4.08;1;4;100;6;5;2;0
461;34.3;10.81;1;6;130;9;7;1;1
462;8.4;-9.44;1;4;100;3;1;0;0
463;27.2;0.38;1;7;155;6;4;2;0
464;32.1;9.90;1;6;130;9;7;1;1
465;40.7;17.06;1;4;100;10;9;1;2
466;21.4;3.64;1;4;100;9;5;0;1
467;19.1;-2.74;1;4;100;6;3;0;0
468;25.2;0.66;1;4;100;6;4;0;0
469;24.3;0.60;1;4;100;6;4;1;0
470;30.4;1.02;1;4;100;6;4;1;0
471;25.5;0.68;1;4;100;6;4;1;0
472;12.8;-6.16;1;4;100;5;2;1;0
473;22.9;0.52;1;4;100;6;4;0;0
474;33.6;7.40;1;5;125;9;6;1;1
475;16.5;-2.92;1;4;100;6;3;0;0
476;19.7;-2.52;1;4;100;7;3;0;1
