Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
148;23.2;-3.25;1;4;100;5;5;0;0;18.6;3
149;24.0;-4.05;1;4;100;6;3;1;0;18.1;3
150;37.3;0.83;1;6;150;8;7;4;0;11.5;4
151;53.6;6.53;1;6;150;12;11;3;2;19.3;4
152;22.0;-4.25;1;7;155;5;3;2;0;12.8;4
153;66.0;12.60;1;8;200;17;17;5;3;15.0;5
154;40.1;1.14;1;5;125;8;7;2;0;26.5;3
155;33.1;-0.45;1;4;100;8;7;0;0;28.6;4
156;35.0;-0.25;1;4;100;7;7;3;0;28.2;4
157;45.7;3.05;1;4;100;10;9;4;3;40.6;6
158;28.4;-1.77;1;6;130;8;6;2;1;15.0;3
159;24.3;-4.57;1;6;130;6;2;1;1;13.3;4
160;29.7;-1.65;1;4;100;7;6;0;2;14.0;3
161;51.4;6.04;1;5;125;16;13;2;4;14.5;3
162;26.4;-3.65;1;4;100;5;4;2;0;17.5;5
163;31.4;-2.47;1;6;130;4;3;2;3;20.1;4
164;46.6;3.94;1;5;125;11;9;6;2;20.8;4
165;29.2;-1.95;1;4;100;5;5;1;2;22.7;4
166;57.7;7.53;1;7;160;14;11;3;6;36.6;6
167;37.1;1.05;1;4;100;9;8;5;1;30.0;3
168;44.9;4.45;1;6;130;12;10;3;4;21.5;4
169;42.4;3.45;1;4;100;11;9;2;5;28.6;6
170;35.9;2.25;1;4;100;11;10;1;3;21.2;3
171;37.5;0.35;1;4;100;8;7;4;1;28.3;3
172;59.0;8.34;1;5;125;15;13;2;6;35.0;4
173;61.0;9.41;1;8;190;15;13;3;5;16.6;2
174;43.1;3.74;1;6;130;10;10;5;3;31.9;5
175;30.6;-3.45;1;4;100;5;2;3;1;26.6;5
176;29.4;-2.65;1;4;100;4;4;1;0;23.5;3
177;46.9;4.55;1;4;100;12;11;4;2;43.0;4
178;57.8;7.44;1;6;150;12;12;5;3;30.3;6
179;37.5;1.05;1;4;100;9;8;2;2;25.4;3
180;64.3;9.84;1;5;125;15;14;3;4;24.8;4
181;45.2;3.75;1;4;100;11;9;2;5;41.0;3
182;58.9;10.23;1;6;150;16;15;2;6;5.5;3
183;36.8;1.35;1;6;130;10;8;3;1;21.9;3
184;51.7;6.13;1;6;150;12;11;4;2;12.6;3
185;64.0;9.92;1;7;160;14;14;2;4;15.8;3
186;43.0;3.05;1;4;100;11;10;2;1;16.4;4
187;37.1;1.24;1;5;125;12;7;3;2;25.7;5
188;50.5;5.65;1;5;125;12;12;4;2;21.5;4
189;50.5;5.94;1;6;130;15;11;3;3;28.8;3
190;46.7;1.95;1;4;100;8;7;4;0;27.7;3
191;43.6;2.15;1;4;100;10;9;3;2;30.1;3
192;22.9;-4.85;1;4;100;4;2;1;2;16.6;6
193;41.9;1.55;1;4;100;8;7;3;3;35.3;5
194;67.1;12.75;1;4;100;20;19;3;4;37.6;3
195;29.0;-1.65;1;4;100;8;5;1;3;14.8;2
196;63.6;11.05;1;4;100;18;16;0;7;30.1;3
197;57.8;10.03;1;6;150;17;16;7;3;37.8;4
198;36.2;0.95;1;4;100;8;8;4;1;26.6;4
199;39.1;1.25;1;4;100;9;8;2;2;33.1;4
200;38.7;1.01;1;7;175;8;6;6;0;24.1;4
201;66.8;13.22;1;7;160;21;18;2;6;15.2;6
202;41.1;1.55;1;4;100;7;7;4;2;33.2;3
203;65.2;11.02;1;7;160;17;15;4;5;39.4;4
204;44.4;0.34;1;6;130;8;6;5;0;22.9;2
205;43.1;1.95;1;4;100;9;8;1;5;21.6;3
206;57.7;6.24;1;5;125;13;12;4;4;18.1;5
207;67.9;12.22;1;7;155;19;17;5;5;31.7;3
208;40.0;0.65;1;4;100;9;5;2;3;35.7;3
209;47.9;4.25;1;4;100;11;10;0;6;28.1;4
210;45.6;2.54;1;6;130;8;8;4;0;19.8;4
211;46.5;3.14;1;5;125;8;8;2;4;29.0;3
212;62.2;11.35;1;4;100;18;17;2;7;29.1;4
213;38.2;-0.55;1;4;100;8;5;1;1;19.4;4
214;57.7;5.62;1;7;155;13;8;3;3;39.3;8
215;65.8;10.64;1;5;125;16;15;4;3;30.2;3
216;45.1;3.75;1;4;100;10;10;2;3;35.2;3
217;54.1;5.74;1;6;130;12;10;2;2;26.3;4
218;33.6;-1.05;1;4;100;5;5;3;2;27.9;4
219;48.5;3.95;1;4;100;9;9;2;5;42.5;4
220;34.9;-0.76;1;5;125;8;7;2;2;19.2;4
221;59.8;8.85;1;4;100;16;14;4;3;50.9;5
222;49.6;6.24;1;5;125;13;12;4;3;30.1;4
223;40.5;0.75;1;4;100;8;7;2;1;19.6;3
224;47.2;4.54;1;6;130;11;11;3;2;20.5;4
225;29.7;-1.55;1;4;100;7;6;1;0;25.1;4
226;66.9;7.44;1;6;130;11;9;1;1;15.2;5
227;48.5;4.75;1;4;100;11;11;2;1;42.2;3
228;43.2;0.94;1;6;130;8;6;1;0;23.6;3
229;43.5;-0.05;1;4;100;8;6;2;0;38.7;6
230;37.6;-0.75;1;4;100;8;6;0;0;17.2;4
231;43.3;2.95;1;4;100;11;9;0;2;37.4;4
232;38.0;0.34;1;6;130;8;6;2;0;17.2;3
233;32.8;-1.65;1;4;100;8;5;0;0;13.8;3
234;38.9;0.05;1;4;100;8;6;0;0;24.2;4
235;38.5;0.45;1;4;100;8;7;2;1;31.7;3
236;45.3;4.55;1;4;100;12;10;1;4;38.7;4
237;25.5;-3.55;1;4;100;4;3;1;3;22.7;6
238;56.3;10.14;1;5;125;18;16;4;5;45.7;3
239;35.5;-1.05;1;4;100;7;5;3;1;27.4;3
240;36.5;2.75;1;4;100;11;10;0;5;29.9;4
241;44.6;3.65;1;4;100;10;10;3;2;28.9;3
242;58.6;8.65;1;4;100;17;14;0;4;40.2;3
243;43.2;1.85;1;4;100;8;7;4;3;39.9;6
244;37.8;0.35;1;4;100;8;7;2;1;20.3;3
245;56.4;6.02;1;7;160;10;10;4;2;26.4;3
246;58.5;5.93;1;6;150;11;9;7;2;7.5;3
247;53.3;5.35;1;4;100;11;10;3;4;29.1;4
248;46.7;3.05;1;4;100;8;8;4;3;39.4;4
249;76.0;14.98;1;10;250;18;17;7;4;21.4;4
250;50.1;3.54;1;6;130;10;9;3;3;24.1;5
251;36.0;1.35;1;4;100;9;9;1;2;17.6;2
252;54.0;7.03;1;6;150;14;12;5;3;29.9;5
253;67.6;12.23;1;6;150;17;17;5;5;22.9;3
254;35.6;-0.75;1;4;100;5;5;3;2;30.8;4
255;52.0;6.74;1;5;125;13;12;3;4;31.7;5
256;57.2;9.34;1;5;125;16;15;3;7;19.5;4
257;69.3;11.02;1;7;160;16;14;5;4;39.0;5
258;51.5;6.74;1;5;125;13;13;4;2;34.0;4
259;54.6;8.45;1;4;100;17;15;3;4;41.1;4
260;69.4;10.84;1;7;155;15;14;5;4;31.8;5
261;48.8;4.95;1;4;100;13;11;3;4;44.1;4
262;49.8;3.25;1;4;100;10;8;1;2;21.4;4
263;42.3;3.35;1;4;100;12;10;3;2;31.9;3
264;69.3;13.11;1;7;175;19;17;4;5;13.3;4
265;33.3;-0.58;1;7;160;8;5;4;2;19.6;6
266;22.8;-4.35;1;4;100;3;3;2;1;19.6;4
267;35.5;0.55;1;4;100;9;7;2;2;29.8;4
268;27.6;-3.25;1;4;100;4;3;1;4;23.7;6
269;60.8;9.03;1;6;150;15;13;5;4;8.3;6
270;40.9;0.64;1;6;130;8;6;1;2;13.3;5
271;35.9;-0.75;1;4;100;8;5;2;2;26.4;4
272;51.9;3.04;1;5;125;8;7;4;0;32.0;5
273;54.7;7.55;1;4;100;16;14;1;4;45.8;5
274;40.1;-2.45;1;4;100;4;4;0;6;35.0;5
275;40.8;-0.55;1;4;100;8;7;1;4;35.2;4
