Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
277;120.2;28.34;0;6;120;14;13;4;3;42.1;7;2
278;80.2;12.85;1;5;100;17;16;2;3;46.1;6;2
279;56.6;5.15;1;5;100;11;10;1;2;28.3;4;2
280;70.0;11.95;1;5;100;19;17;0;5;27.4;6;3
281;49.6;3.95;1;5;100;11;10;1;2;24.5;4;4
282;54.3;5.35;1;5;100;11;11;1;2;19.5;5;1
283;83.5;9.64;1;6;120;9;9;1;2;36.3;7;7
284;55.7;3.75;1;5;100;8;8;3;0;31.5;4;1
285;46.6;3.45;1;5;100;11;10;0;2;19.1;4;3
286;36.8;1.25;1;5;100;11;9;1;1;18.2;6;1
287;39.5;1.95;1;5;100;11;10;2;1;26.7;5;1
288;47.8;3.35;1;5;100;10;9;1;2;24.0;4;3
289;48.2;3.05;1;5;100;11;9;0;2;30.1;3;3
290;50.9;5.35;1;5;100;13;12;1;2;19.5;4;4
291;47.1;4.35;1;5;100;14;11;1;2;32.8;5;2
292;25.9;-0.65;1;5;100;10;9;1;1;16.4;5;1
293;110.6;23.74;1;6;120;26;25;2;7;28.0;4;4
294;26.3;-2.35;1;5;100;8;6;0;1;12.5;4;2
295;35.0;0.25;1;5;100;8;8;1;0;24.1;5;2
296;32.9;-1.25;1;5;100;8;6;1;0;21.5;4;2
297;36.2;-0.15;1;5;100;8;7;1;1;24.5;3;2
298;56.3;5.72;1;8;160;10;10;3;2;32.2;6;4
299;36.2;1.55;1;5;100;10;10;0;2;11.4;4;3
300;70.7;11.32;1;8;160;16;15;2;4;14.8;7;5
301;45.1;4.24;1;7;130;12;11;2;2;16.8;3;4
302;66.1;8.54;1;6;120;14;12;3;2;33.2;7;1
303;59.9;6.34;1;7;130;12;10;2;3;22.9;5;2
304;58.5;5.94;1;7;130;11;11;3;3;26.1;5;2
305;54.2;5.44;1;7;130;11;11;1;2;14.0;4;4
306;54.8;6.94;1;6;120;13;13;2;2;17.4;4;3
307;45.8;2.75;1;5;100;11;9;1;1;14.6;4;3
308;79.5;16.85;1;5;100;23;23;1;6;31.2;4;3
309;68.1;11.35;1;5;100;17;17;0;4;49.6;3;3
310;49.8;4.05;1;5;100;11;10;0;3;21.9;5;4
311;57.0;7.55;1;5;100;14;14;0;4;22.0;3;4
312;120.1;24.04;0;6;120;8;6;2;0;13.4;7;11
313;33.7;0.65;1;5;100;10;9;0;2;22.6;6;2
314;50.8;4.25;1;5;100;11;10;2;2;27.5;4;2
315;49.8;3.05;1;5;100;10;8;2;2;28.0;7;3
316;105.4;17.92;1;8;160;17;16;3;5;35.7;7;11
317;43.8;2.95;1;5;100;11;10;1;2;19.6;4;1
318;66.6;11.35;1;5;100;19;17;1;4;20.5;3;2
319;35.1;0.55;1;5;100;9;8;1;1;15.2;4;1
320;88.9;8.64;1;7;130;8;6;3;0;25.4;7;5
321;33.2;1.05;1;5;100;10;10;1;1;15.6;5;2
322;120.1;28.24;0;6;120;14;13;2;2;40.0;7;6
323;37.6;1.45;1;5;100;10;9;1;1;20.6;5;1
324;17.8;-4.35;1;5;100;6;5;1;0;11.5;4;1
325;35.5;1.45;1;5;100;11;10;0;2;19.1;4;0
326;109.5;15.04;1;7;130;11;11;2;2;19.8;7;7
327;67.4;6.44;1;7;130;10;9;4;1;27.5;6;4
328;49.0;5.34;1;6;120;14;12;2;2;16.7;4;0
329;43.8;2.24;1;7;130;11;8;1;3;28.6;4;2
330;54.8;4.95;1;5;100;11;10;1;1;19.8;3;3
331;49.3;1.75;1;5;100;8;6;0;2;24.5;4;2
332;45.3;2.15;1;5;100;8;8;2;1;28.8;4;1
333;47.1;3.15;1;5;100;11;9;1;2;29.9;4;1
334;80.4;16.05;1;5;100;21;21;1;6;21.9;4;1
335;58.7;7.75;1;5;100;14;14;1;3;26.9;5;3
336;44.0;1.25;1;5;100;7;7;0;1;17.8;7;1
337;38.0;0.95;1;5;100;11;8;2;1;16.6;4;2
338;54.1;5.55;1;5;100;14;11;1;3;27.0;3;1
339;120.0;26.75;0;5;100;11;10;2;2;16.7;7;15
340;43.2;3.25;1;5;100;11;11;1;2;32.2;3;2
341;29.8;-1.25;1;5;100;8;7;2;0;16.8;4;1
342;37.0;-0.55;1;5;100;8;6;1;0;18.0;4;2
343;46.8;3.75;1;5;100;12;10;1;3;26.3;3;1
344;66.9;9.64;1;6;120;14;14;3;2;22.1;5;2
345;35.0;-1.15;1;5;100;7;5;1;1;14.6;4;1
346;36.5;1.75;1;5;100;11;10;1;1;18.8;4;2
347;62.6;7.74;1;7;130;14;12;3;2;46.0;5;2
348;60.5;9.04;1;7;130;15;15;2;3;17.0;5;3
349;46.9;3.45;1;5;100;11;10;2;1;27.4;4;1
350;39.9;2.75;1;5;100;11;11;1;1;15.9;5;2
351;90.6;13.73;1;8;160;17;13;3;3;26.5;6;7
352;105.8;19.29;1;11;220;18;17;6;4;43.6;6;7
353;36.8;1.05;1;5;100;10;8;1;2;19.1;4;2
354;60.7;7.24;1;6;120;13;13;2;3;25.7;4;1
355;41.9;1.54;1;7;130;8;8;4;0;28.8;4;1
356;38.2;1.84;1;7;130;11;9;1;2;11.8;4;4
