Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;+TimeToFirstHit;MaxAlerted
134;25.8;-5.05;1;4;100;4;4;0;0;20.7;4
135;27.3;-3.95;1;4;100;6;6;0;0;17.4;2
136;42.7;-1.95;1;4;100;6;6;0;0;15.9;3
137;33.1;-3.15;1;4;100;6;6;0;0;27.0;3
138;37.4;-3.17;1;6;130;5;5;1;1;20.6;2
139;25.3;-5.05;1;4;100;4;4;0;0;18.5;3
140;54.5;0.04;1;6;130;6;6;1;1;27.0;8
141;32.1;-3.15;1;4;100;6;6;0;1;21.7;3
142;18.9;-6.45;1;4;100;4;3;0;0;14.5;3
143;28.1;-3.75;1;4;100;6;6;0;0;17.0;2
144;33.0;-3.15;1;4;100;6;6;0;0;27.5;4
145;27.4;-5.25;1;4;100;4;4;0;0;20.8;4
146;32.1;-3.67;1;6;130;5;5;1;0;20.6;3
147;27.1;-4.85;1;4;100;5;4;0;0;12.5;4
148;29.7;-4.25;1;4;100;6;5;0;0;23.6;4
149;59.8;1.74;1;6;130;9;9;1;1;23.8;3
150;26.1;-4.65;1;4;100;5;5;0;0;18.7;3
151;21.1;-6.65;1;4;100;3;2;0;0;14.9;2
152;22.9;-5.95;1;4;100;4;3;0;0;14.8;4
153;32.7;-4.35;1;4;100;4;4;0;0;28.1;4
154;21.8;-6.25;1;4;100;4;3;0;0;13.0;3
155;37.5;-2.95;1;4;100;6;6;0;1;31.3;4
156;32.7;-3.25;1;4;100;6;6;1;0;26.6;4
157;25.9;-5.15;1;4;100;4;4;0;0;17.1;3
158;25.5;-4.85;1;4;100;4;4;0;0;18.8;3
159;35.5;-3.55;1;4;100;5;5;0;0;19.4;4
160;29.7;-4.65;1;4;100;4;4;0;0;23.3;3
161;28.0;-4.85;1;4;100;5;4;0;0;22.5;4
162;31.1;-3.45;1;4;100;6;6;0;0;24.7;3
163;53.6;-0.57;1;6;130;6;5;1;1;17.7;7
164;32.4;-3.35;1;4;100;6;6;0;0;25.1;3
165;33.4;-3.15;1;4;100;6;6;0;0;27.9;3
166;30.4;-5.55;1;4;100;3;2;0;0;25.1;4
167;17.6;-6.65;1;4;100;3;3;0;1;12.4;2
168;26.3;-5.75;1;6;130;3;2;1;1;11.3;2
169;26.8;-5.55;1;4;100;4;3;0;0;20.4;3
170;25.4;-4.75;1;4;100;5;5;0;0;17.4;3
171;28.7;-3.85;1;4;100;6;6;0;0;23.1;4
172;29.3;-4.75;1;4;100;6;4;0;0;13.4;2
173;42.4;-1.85;1;4;100;6;6;0;0;29.9;4
174;21.9;-5.95;1;4;100;3;3;0;0;17.7;3
175;31.4;-4.95;1;4;100;4;4;0;0;22.8;5
176;41.3;-2.65;1;4;100;6;6;0;0;20.3;3
177;27.5;-3.95;1;4;100;6;6;0;0;19.0;3
178;55.3;2.25;1;6;130;10;10;1;2;21.6;4
179;22.4;-6.65;1;4;100;3;2;0;0;17.4;4
180;24.5;-5.65;1;4;100;4;3;0;0;20.0;5
181;20.0;-7.35;1;4;100;2;1;0;0;14.7;3
182;34.6;-2.95;1;4;100;6;6;0;0;17.7;2
183;33.9;-3.45;1;4;100;6;5;0;0;20.4;4
184;28.6;-4.35;1;4;100;5;5;0;0;21.4;3
185;21.6;-6.55;1;4;100;3;2;0;0;17.3;5
