Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups
222;33.9;3.02;1;4;100;6;5;0;0
223;40.8;0.20;1;4;100;4;4;0;1
224;51.8;6.70;1;4;100;7;6;1;2
225;32.8;-3.06;1;4;100;4;3;1;0
226;40.4;3.11;1;5;125;7;5;1;2
227;24.2;-12.26;1;4;100;2;0;1;0
228;26.7;-6.02;1;4;100;4;2;0;1
229;43.8;6.81;1;6;130;7;6;2;3
230;98.0;14.34;1;4;100;8;8;3;6
231;33.6;0.00;1;4;100;6;4;1;1
232;57.1;9.84;1;4;100;7;7;5;1
233;27.6;-9.24;1;4;100;4;1;3;1
234;35.8;-0.78;1;7;160;6;4;2;1
235;101.5;25.69;1;9;205;16;12;9;6
236;43.5;-5.66;1;4;100;2;2;1;3
237;45.9;-2.29;1;6;130;6;3;3;3
238;35.5;2.56;1;6;150;5;5;2;0
239;31.5;-0.06;1;4;100;5;4;1;2
240;48.6;-5.58;1;4;100;5;2;4;0
241;45.6;0.31;1;5;125;6;4;5;1
242;86.3;2.06;1;4;100;5;4;6;6
243;51.3;13.39;1;6;130;9;8;2;4
244;23.2;-5.99;1;6;130;3;2;2;0
245;34.0;3.02;1;4;100;6;5;2;1
246;31.7;-6.06;1;4;100;3;2;1;2
247;41.5;0.20;1;4;100;4;4;2;3
248;30.6;-6.14;1;4;100;3;2;0;1
249;52.8;19.12;1;4;100;10;10;3;4
250;47.6;2.96;1;6;130;6;5;2;0
251;40.8;0.24;1;4;100;5;4;2;0
252;38.4;-2.66;1;4;100;4;3;5;1
253;120.0;50.08;0;8;200;19;16;7;9
254;63.0;4.30;1;4;100;6;5;5;3
255;41.6;2.91;1;5;125;6;5;2;1
256;37.8;-0.19;1;5;125;6;4;1;0
257;49.4;3.48;1;4;100;6;5;3;0
258;38.1;6.12;1;4;100;6;6;2;0
259;47.2;15.62;1;8;160;9;9;3;1
260;74.7;15.56;1;7;160;9;9;5;1
261;35.8;-5.98;1;4;100;3;2;0;0
262;35.2;-6.07;1;5;125;4;2;1;3
263;16.3;-9.58;1;4;100;3;1;1;1
264;60.8;3.84;1;4;100;6;5;3;0
265;40.2;-2.87;1;5;125;5;3;2;2
266;34.4;-5.94;1;4;100;4;2;1;3
267;27.4;-0.22;1;4;100;4;4;0;2
268;47.4;-2.51;1;5;125;5;3;2;3
269;29.2;-0.45;1;5;125;6;4;1;0
270;50.1;3.41;1;5;125;7;5;2;3
271;22.7;-3.34;1;4;100;6;3;2;0
272;74.8;16.67;1;5;125;11;9;6;4
273;39.8;6.38;1;4;100;6;6;0;1
274;44.5;3.30;1;4;100;6;5;1;0
275;31.4;-3.10;1;4;100;4;3;0;0
276;113.2;29.30;1;8;190;17;13;3;6
277;39.7;3.30;1;4;100;6;5;1;1
278;42.3;-0.26;1;6;130;6;4;3;1
279;40.1;-5.49;1;6;130;5;2;2;1
280;21.5;-9.38;1;4;100;2;1;2;0
281;45.1;-2.48;1;4;100;4;3;2;3
282;39.4;-5.86;1;4;100;5;2;0;1
283;38.3;0.14;1;4;100;4;4;1;0
284;29.1;-5.78;1;4;100;4;2;1;2
285;22.1;-12.20;1;4;100;5;0;0;2
286;77.6;-2.02;1;6;150;7;3;7;1
287;47.5;3.60;1;4;100;7;5;0;4
288;116.2;17.49;1;5;125;11;9;2;2
289;28.1;-9.04;1;4;100;3;1;1;1
290;18.2;-9.44;1;4;100;2;1;0;1
291;33.3;5.92;1;4;100;6;6;0;0
292;84.9;23.28;1;4;100;14;11;4;9
293;31.0;-6.16;1;4;100;6;2;0;1
