Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
130;80.2;14.94;1;7;130;21;18;1;6;20.9;5;3
131;85.3;17.14;1;6;120;23;21;1;5;45.3;4;5
132;83.2;16.82;1;8;160;22;20;4;6;15.1;5;4
133;87.3;13.12;1;8;160;15;13;5;3;26.2;5;9
134;79.1;13.70;1;10;200;19;15;5;7;19.1;5;4
135;40.5;1.94;1;6;120;9;9;2;1;23.5;5;3
136;92.6;15.78;1;12;240;19;16;6;6;21.6;7;5
137;59.0;6.84;1;7;130;13;12;3;3;19.5;5;0
138;83.3;13.12;1;8;160;17;15;4;4;18.6;5;6
139;87.9;10.44;1;6;120;11;10;2;2;38.2;6;7
140;69.9;8.24;1;6;120;12;11;1;4;18.3;5;5
141;35.0;-0.05;1;5;100;7;7;2;3;27.4;4;0
142;82.1;14.60;1;11;220;22;18;6;5;25.7;7;4
143;52.8;3.25;1;5;100;11;8;1;2;17.7;5;2
144;70.1;9.98;1;12;240;14;12;6;4;16.7;5;1
145;78.2;13.82;1;8;160;18;16;3;7;23.3;6;3
146;69.7;10.55;1;5;100;19;14;0;7;20.8;4;5
147;47.8;4.34;1;7;130;11;9;3;5;14.7;6;0
148;53.9;5.05;1;5;100;11;10;2;4;34.5;5;2
149;65.8;10.73;1;7;140;18;15;6;4;28.1;6;3
150;100.3;21.47;1;14;280;24;21;6;6;21.9;5;10
151;72.5;10.72;1;8;160;14;13;6;3;32.9;6;5
152;101.6;24.21;1;10;200;29;26;4;11;23.3;4;6
153;73.6;12.32;1;8;160;17;16;4;5;18.5;5;2
154;119.4;28.54;1;7;140;32;29;4;11;46.7;4;6
155;107.7;24.15;1;17;330;26;22;9;8;14.5;7;5
156;89.8;18.62;1;8;160;26;21;2;6;23.5;5;5
157;47.1;4.85;1;5;100;14;12;0;2;21.1;3;4
158;120.0;36.97;0;3;60;30;27;1;8;54.8;3;5
159;59.7;6.84;1;6;120;14;11;1;2;23.0;3;2
160;26.8;-2.85;1;5;100;8;5;0;0;15.7;4;1
