Episode;SurvivalTime;TotalReward;Died;DamageEvents;DamageTaken;ShotsFired;Kills;HealthPickups;AmmoPickups;TimeToFirstHit;MaxAlerted;DashesUsed
159;49.6;2.55;1;4;100;8;8;3;1;30.2;3;2
160;42.3;2.25;1;4;100;11;8;2;3;21.0;3;1
161;65.5;10.50;1;8;200;16;14;5;3;4.6;5;8
162;25.7;-2.96;1;5;125;5;4;3;1;4.6;5;0
163;63.3;8.52;1;8;185;14;12;7;2;27.7;3;4
164;33.3;-0.15;1;4;100;8;8;2;1;22.6;4;3
165;30.4;-2.15;1;4;100;7;5;3;0;20.4;3;2
166;41.8;2.15;1;4;100;10;9;2;2;21.7;2;2
167;53.2;5.54;1;5;125;11;10;4;4;35.9;5;1
168;73.3;10.74;1;6;130;14;14;1;4;13.5;5;5
169;60.3;4.55;1;4;100;8;8;2;0;46.5;3;2
170;49.9;5.23;1;7;160;12;11;2;2;20.3;5;3
171;53.0;5.95;1;4;100;15;11;1;4;35.2;3;5
172;36.5;-0.65;1;4;100;8;6;1;0;29.9;4;1
173;54.6;5.84;1;6;130;13;11;3;2;34.3;5;3
174;42.4;0.13;1;6;130;8;5;1;0;35.5;5;1
175;33.6;-1.37;1;6;130;7;5;1;0;12.4;4;2
176;36.6;-0.26;1;6;130;8;6;1;0;12.2;4;3
177;57.9;7.22;1;7;160;13;12;2;2;30.8;4;7
178;41.1;1.25;1;4;100;8;8;0;0;14.5;2;3
179;48.4;3.35;1;4;100;11;9;0;1;25.6;3;3
180;35.8;-0.15;1;4;100;8;7;0;0;27.9;4;1
181;23.8;-3.85;1;4;100;5;4;0;0;15.7;4;1
182;22.6;-3.95;1;4;100;5;4;0;1;15.6;3;2
183;66.1;9.79;1;9;215;16;13;4;3;13.7;5;6
184;47.8;1.42;1;7;155;8;5;3;0;32.7;5;4
185;51.8;4.75;1;4;100;13;10;2;2;45.8;4;1
186;63.9;6.92;1;7;160;11;10;5;1;26.4;3;3
187;52.5;5.35;1;4;100;14;13;0;2;19.7;5;2
188;44.1;3.45;1;4;100;11;11;0;1;14.2;3;1
189;45.0;3.55;1;4;100;11;10;0;2;13.7;4;4
190;59.9;7.73;1;6;150;12;12;2;2;19.5;4;5
191;50.7;5.01;1;9;210;11;10;4;1;18.6;3;4
192;59.0;7.95;1;4;100;14;14;1;2;36.6;3;2
193;30.8;-1.65;1;4;100;6;6;0;0;24.2;3;1
194;80.2;15.22;1;7;155;20;19;2;4;15.2;5;5
195;32.8;0.35;1;5;125;8;8;1;2;15.1;3;2
196;24.7;-2.85;1;4;100;5;5;0;1;15.9;3;1
197;22.6;-3.65;1;4;100;5;4;0;1;15.4;3;2
198;59.8;7.91;1;8;185;12;12;3;2;14.8;5;5
